id_dipendente,first_name,last_name,email,gender,salario,data assunzione,id_autonoleggio,id_manager,numero_di_telefono
1,Guillermo,Jolley,gjolley0@imdb.com,Genderqueer,419359.26,2/17/2020,154.18,10095.59,4394804027
2,Hartwell,Richfield,hrichfield1@fc2.com,Bigender,304033.64,5/6/2020,321.58,43958.73,0611042835
3,Jewell,Curl,jcurl2@hc360.com,Female,58815.04,1/30/2021,300.1,30361.59,2603584510
4,Josie,Brumham,jbrumham3@newyorker.com,Bigender,388231.53,10/1/2020,261.22,20752.91,2870275110
5,Maryanna,Strelitz,mstrelitz4@sbwire.com,Polygender,395764.87,1/19/2021,154.5,36601.63,0394075811
6,Jamey,Hosier,jhosier5@elegantthemes.com,Agender,492318.76,7/29/2020,346.54,3656.33,2577023790
7,Obadiah,Bagnall,obagnall6@zimbio.com,Polygender,426897.2,10/21/2020,411.1,30582.96,1599341190
8,Tamara,Bruins,tbruins7@taobao.com,Bigender,399729.95,1/3/2021,148.66,24724.78,6339394868
9,Marianna,Carncross,mcarncross8@friendfeed.com,Non-binary,243536.12,5/17/2020,57.22,42348.64,6799916191
10,Phylis,Payne,ppayne9@webnode.com,Genderfluid,37729.62,1/24/2021,337.12,47988.18,1380593190
11,Ashley,Dummer,adummera@google.es,Female,277319.3,1/27/2021,488.79,20667.52,9880520203
12,Bekki,Moorerud,bmoorerudb@europa.eu,Bigender,191181.38,12/1/2020,261.0,44889.27,8392354478
13,Estella,Renneke,erennekec@craigslist.org,Female,309170.2,1/16/2021,204.61,48602.37,9737453336
14,Tamarra,Wallentin,twallentind@seesaa.net,Male,345152.72,9/22/2020,62.76,20561.22,1156232880
15,Rhea,Wensley,rwensleye@ucoz.com,Non-binary,233880.51,4/24/2020,140.13,47427.93,8500814594
16,Katya,Braden,kbradenf@timesonline.co.uk,Polygender,150572.25,10/19/2020,148.19,44619.58,2506819118
17,Phip,Dayer,pdayerg@cisco.com,Female,494282.91,1/11/2021,258.06,4952.28,7299400197
18,Ezechiel,Kynforth,ekynforthh@sciencedirect.com,Female,316309.97,5/26/2020,489.52,30132.49,1492711195
19,Blithe,Whenman,bwhenmani@godaddy.com,Genderfluid,91962.39,3/6/2020,273.94,7217.12,2739917066
20,Chiquita,Ryland,crylandj@washington.edu,Male,401148.12,5/20/2020,90.42,37314.31,9554765800
21,Boony,Gohn,bgohnk@google.ca,Male,394019.2,12/22/2020,325.17,24627.15,2906356867
22,Shawnee,Oguz,soguzl@xinhuanet.com,Male,345372.63,1/8/2021,342.91,43402.68,3916418858
23,Claudia,Francescuzzi,cfrancescuzzim@shinystat.com,Male,93546.79,11/3/2020,470.38,37140.23,8072228854
24,Diego,Rawlcliffe,drawlcliffen@nydailynews.com,Polygender,113752.14,3/19/2020,311.87,10308.64,5355312756
25,Sean,Melton,smeltono@cmu.edu,Genderfluid,283907.46,4/22/2020,177.18,27810.87,6257372305
26,Cindie,MacAne,cmacanep@cyberchimps.com,Male,25296.45,9/20/2020,7.87,37618.6,8237882490
27,Brandea,Glyn,bglynq@craigslist.org,Genderqueer,357608.05,8/14/2020,57.55,21262.5,4608175580
28,Kaila,Chessel,kchesselr@forbes.com,Polygender,170594.32,7/25/2020,476.24,8853.14,2408488559
29,Lester,Billes,lbilless@cpanel.net,Female,33297.52,11/24/2020,197.73,41957.0,8713768816
30,Skippy,Blything,sblythingt@hhs.gov,Male,452308.34,6/8/2020,194.25,21668.56,5092105003
31,Alaine,Abson,aabsonu@cbsnews.com,Female,104543.91,10/8/2020,464.19,20020.8,0055418856
32,Martina,Manderson,mmandersonv@deliciousdays.com,Genderfluid,193281.76,9/1/2020,48.03,2897.06,2127557891
33,Beverlie,MacCall,bmaccallw@dropbox.com,Male,72883.93,10/20/2020,205.39,32992.28,0135972116
34,Meredith,Dumbellow,mdumbellowx@google.cn,Genderqueer,172194.69,5/15/2020,269.5,14631.04,5662810117
35,Joshuah,Cristol,jcristoly@technorati.com,Genderqueer,424393.13,9/25/2020,269.14,13863.5,8437957087
36,Chadd,Van de Velde,cvandeveldez@nifty.com,Genderfluid,444763.49,6/30/2020,93.43,31707.82,4723184171
37,Lilas,Prichet,lprichet10@shutterfly.com,Female,207140.29,9/3/2020,336.92,20876.33,7167336742
38,Cobb,Davage,cdavage11@purevolume.com,Female,451816.59,2/13/2020,1.52,38277.96,7174390943
39,Berty,Biddulph,bbiddulph12@woothemes.com,Non-binary,211837.12,6/21/2020,328.69,38897.46,0754460282
40,Mariejeanne,Tummasutti,mtummasutti13@msu.edu,Non-binary,171750.39,2/18/2020,405.05,21799.74,4504042746
41,Zared,Mariaud,zmariaud14@wix.com,Female,397610.87,12/23/2020,356.5,29991.12,4654077545
42,Stirling,Crooke,scrooke15@thetimes.co.uk,Female,445841.03,1/18/2021,172.29,28657.5,0372619312
43,Flem,Seaborne,fseaborne16@digg.com,Bigender,122008.12,3/12/2020,334.14,2838.08,2798279569
44,Bessy,Bartram,bbartram17@nyu.edu,Non-binary,240922.8,12/21/2020,3.58,36922.04,6563909752
45,Petronilla,Merit,pmerit18@google.co.uk,Polygender,117587.08,8/14/2020,217.06,39801.23,9166742129
46,Silvester,Peplaw,speplaw19@ask.com,Male,27764.65,1/9/2021,427.21,22511.45,1009992678
47,Nolie,Veness,nveness1a@google.co.uk,Non-binary,237238.73,1/22/2021,197.72,29975.77,1468350234
48,Brande,Kenworth,bkenworth1b@canalblog.com,Polygender,350605.09,9/8/2020,245.31,4941.26,5671842689
49,Dallas,Schonfelder,dschonfelder1c@seattletimes.com,Agender,271636.75,9/28/2020,358.73,6972.87,6124369958
50,Ava,Minter,aminter1d@dion.ne.jp,Genderqueer,181102.83,10/5/2020,40.24,26453.7,8561942061
51,Philis,Strowlger,pstrowlger1e@google.com.br,Agender,333109.18,8/5/2020,14.03,42473.43,2949870708
52,Kirbee,Andrieux,kandrieux1f@wordpress.org,Genderfluid,302695.83,7/13/2020,431.42,14538.14,5834648703
53,Gavin,Rodolfi,grodolfi1g@ifeng.com,Bigender,204744.61,6/25/2020,485.47,34314.95,0956659691
54,Daniele,Handrock,dhandrock1h@ft.com,Bigender,143095.2,5/18/2020,231.42,12571.31,1016637225
55,Mike,Bilbrook,mbilbrook1i@time.com,Non-binary,270062.34,6/28/2020,340.91,32719.31,1357374887
56,Corrie,Mathevon,cmathevon1j@sakura.ne.jp,Bigender,400644.9,10/5/2020,316.39,31521.69,3671635355
57,Killian,Skull,kskull1k@barnesandnoble.com,Agender,291609.18,9/2/2020,260.39,30321.17,5074821029
58,Ashia,Mansuer,amansuer1l@tinypic.com,Female,209092.96,6/1/2020,189.96,8599.49,2544244208
59,Darnall,Grigolashvill,dgrigolashvill1m@earthlink.net,Female,396515.7,9/21/2020,400.3,15644.57,5114671642
60,Farlie,Dochon,fdochon1n@webs.com,Non-binary,407628.71,7/5/2020,298.36,47770.57,1324291893
61,Yolane,Mooreed,ymooreed1o@etsy.com,Bigender,21718.89,5/14/2020,112.31,15694.48,7489972914
62,Mariquilla,Plumtree,mplumtree1p@umn.edu,Female,71268.2,10/17/2020,358.71,7909.46,1292001577
63,Ingaborg,Tille,itille1q@ning.com,Polygender,462861.28,6/11/2020,465.26,9732.45,0364187727
64,Petey,Dafter,pdafter1r@e-recht24.de,Bigender,295711.57,4/14/2020,415.23,12534.75,0469547529
65,Susan,Dorling,sdorling1s@sakura.ne.jp,Polygender,359440.34,5/15/2020,312.77,306.27,7746266223
66,Alexi,Gloves,agloves1t@nasa.gov,Genderfluid,39139.4,6/12/2020,416.06,21933.71,8550087262
67,Clary,Shawdforth,cshawdforth1u@wix.com,Agender,468587.95,11/4/2020,3.8,780.83,3612730835
68,Beverley,Spehr,bspehr1v@paypal.com,Agender,356448.48,6/12/2020,429.83,3470.22,9675913169
69,Hedi,Donovin,hdonovin1w@tamu.edu,Polygender,226719.87,9/13/2020,326.23,26957.09,8176328707
70,Gregg,Sommerville,gsommerville1x@opera.com,Female,65408.03,11/6/2020,205.01,13819.14,8586935735
71,Anselma,Simmonds,asimmonds1y@gravatar.com,Genderqueer,319935.08,9/19/2020,105.79,47191.83,6503097328
72,Mikol,Viscovi,mviscovi1z@comcast.net,Bigender,308122.0,3/18/2020,456.58,21321.17,1912361345
73,Gilbertina,Drohun,gdrohun20@accuweather.com,Polygender,181616.93,3/23/2020,240.45,34459.04,7730144700
74,Marlo,McCrudden,mmccrudden21@freewebs.com,Female,300209.5,4/30/2020,357.46,30942.92,5480838954
75,Jake,Paddison,jpaddison22@howstuffworks.com,Female,170157.86,2/12/2020,434.1,42451.85,6491270912
76,Abbye,Conquer,aconquer23@dropbox.com,Non-binary,251898.53,7/2/2020,370.75,40331.8,1802538615
77,Nina,Bosnell,nbosnell24@discovery.com,Female,48372.19,6/9/2020,306.48,47943.36,0719246326
78,Vasilis,Broadnicke,vbroadnicke25@salon.com,Non-binary,10702.68,5/8/2020,315.54,15486.66,4086680785
79,Devora,Whether,dwhether26@youtu.be,Agender,57692.49,11/6/2020,309.75,24786.58,1368179851
80,Tiffany,Duinbleton,tduinbleton27@stanford.edu,Genderqueer,301075.01,4/18/2020,123.61,9619.92,4965256638
81,Rikki,Wear,rwear28@cbc.ca,Genderqueer,123781.6,9/16/2020,73.23,9129.64,3750328234
82,Alyson,Simpkiss,asimpkiss29@zimbio.com,Polygender,294169.21,7/30/2020,7.27,37957.48,4131059673
83,Dorette,Langmead,dlangmead2a@walmart.com,Bigender,136260.41,1/18/2021,102.19,2668.36,3896158627
84,Jammal,Pickworth,jpickworth2b@harvard.edu,Bigender,227505.93,10/20/2020,210.37,34086.82,3796685676
85,Margeaux,Hingeley,mhingeley2c@hao123.com,Genderqueer,120079.69,4/11/2020,367.4,16334.21,0121462994
86,Agata,Mease,amease2d@weather.com,Genderfluid,452506.77,2/16/2020,119.18,34214.48,2487480165
87,Marci,Fargher,mfargher2e@harvard.edu,Polygender,406856.41,5/8/2020,279.4,30816.13,1593830149
88,Hilary,Barge,hbarge2f@google.com.hk,Female,254563.18,3/20/2020,206.41,25732.88,8304854597
89,Tamar,Hiddersley,thiddersley2g@moonfruit.com,Agender,37227.02,9/5/2020,14.74,14593.54,0024693952
90,Constancy,De Hailes,cdehailes2h@issuu.com,Female,228944.44,5/29/2020,184.49,45121.83,9219811324
91,Hermie,Weatherburn,hweatherburn2i@a8.net,Bigender,236867.57,6/28/2020,83.56,19840.03,5342284635
92,Imojean,Trustram,itrustram2j@tiny.cc,Male,429901.67,12/2/2020,326.25,43221.34,1956361073
93,Chance,Throughton,cthroughton2k@economist.com,Male,301434.9,1/26/2021,89.13,43279.08,4637932440
94,Bryana,Langsbury,blangsbury2l@cafepress.com,Bigender,201364.48,3/2/2020,23.08,7449.7,1479397059
95,Vally,Walmsley,vwalmsley2m@opera.com,Polygender,274700.1,3/7/2020,436.62,45942.63,8925493683
96,Connie,Dudlestone,cdudlestone2n@cam.ac.uk,Genderqueer,410743.84,1/5/2021,99.31,10233.47,5201919626
97,Franciskus,Bewly,fbewly2o@netvibes.com,Agender,497959.05,3/28/2020,264.96,32888.57,0620387998
98,Gwenette,Pennells,gpennells2p@sfgate.com,Female,207730.8,5/1/2020,380.69,13754.85,2944021168
99,Nola,Moysey,nmoysey2q@walmart.com,Genderfluid,364559.88,7/21/2020,416.09,13487.41,2352320364
100,Bonita,Pierse,bpierse2r@woothemes.com,Agender,209626.02,5/14/2020,276.46,25770.09,9914564089
101,Lebbie,Lapere,llapere2s@columbia.edu,Female,329845.23,6/20/2020,471.41,39331.69,2042334502
102,Filmer,Farthin,ffarthin2t@i2i.jp,Male,124701.49,2/23/2020,17.52,5469.53,4257720670
103,Yank,Janicijevic,yjanicijevic2u@archive.org,Genderfluid,479921.0,4/17/2020,200.7,20900.27,6044796612
104,Dana,Klimmek,dklimmek2v@youtu.be,Bigender,463530.73,8/19/2020,78.06,5846.33,1862923272
105,April,Baroch,abaroch2w@dagondesign.com,Bigender,492854.49,10/11/2020,78.32,43239.54,7661970473
106,Rica,Tomaszkiewicz,rtomaszkiewicz2x@sfgate.com,Non-binary,387985.92,6/26/2020,171.14,33686.63,3378842660
107,Aloise,Gilphillan,agilphillan2y@123-reg.co.uk,Male,477645.59,7/30/2020,403.49,34755.41,9998790425
108,Norah,Laverock,nlaverock2z@digg.com,Female,204131.96,6/20/2020,108.27,37889.91,0431433194
109,Lyndell,Lomasny,llomasny30@miitbeian.gov.cn,Male,493320.86,8/23/2020,357.98,40856.55,7454644597
110,Tobias,McGarvey,tmcgarvey31@nps.gov,Non-binary,210227.9,8/4/2020,218.82,38258.0,3194807560
111,Henri,Harnwell,hharnwell32@japanpost.jp,Non-binary,198570.7,4/28/2020,16.43,37277.97,5025559278
112,Zackariah,Schoales,zschoales33@ox.ac.uk,Non-binary,175142.02,5/27/2020,103.35,26283.34,4895488527
113,Cullan,Edsall,cedsall34@mtv.com,Female,311037.12,7/17/2020,11.05,6813.54,0080063101
114,Monroe,Ayto,mayto35@examiner.com,Female,465419.53,5/3/2020,177.8,9723.13,9657439973
115,Vere,Stoyell,vstoyell36@ox.ac.uk,Genderfluid,54721.71,8/2/2020,436.25,47336.87,3364341362
116,Loella,Killingsworth,lkillingsworth37@yellowbook.com,Genderqueer,330075.43,1/24/2021,267.63,14635.75,9894229492
117,Lexi,Errichi,lerrichi38@slashdot.org,Non-binary,289915.31,10/22/2020,365.71,43363.62,8321330622
118,Gertrude,Pierson,gpierson39@nyu.edu,Genderfluid,14312.65,4/7/2020,45.37,28060.86,7101049915
119,Rivy,La Vigne,rlavigne3a@economist.com,Genderfluid,186899.15,11/19/2020,487.83,39496.8,3779742853
120,Rickey,Leijs,rleijs3b@mozilla.com,Non-binary,8000.02,10/24/2020,299.91,25170.53,8493090409
121,Fulvia,Bloxsum,fbloxsum3c@java.com,Male,231978.97,5/19/2020,73.99,30151.37,1745338179
122,Danica,Gledhall,dgledhall3d@indiatimes.com,Bigender,217807.92,2/2/2021,120.03,1499.24,3983746950
123,Godfry,Seegar,gseegar3e@hp.com,Genderqueer,62500.09,8/20/2020,484.85,22890.74,8344560144
124,Taffy,De Ferrari,tdeferrari3f@msu.edu,Male,117816.9,11/12/2020,397.95,36959.22,6662577375
125,Raymund,Vlahos,rvlahos3g@adobe.com,Genderfluid,478833.3,2/19/2020,114.26,36554.59,2690562146
126,Rosabel,Scholefield,rscholefield3h@wufoo.com,Female,7420.74,8/11/2020,377.23,19672.34,0345690338
127,Lita,Showt,lshowt3i@apache.org,Genderfluid,349935.64,5/12/2020,284.1,46000.53,6667314801
128,Tina,Maffioni,tmaffioni3j@mediafire.com,Female,452975.18,11/28/2020,202.64,44450.81,5882486661
129,Mechelle,Allanson,mallanson3k@bigcartel.com,Non-binary,2329.04,7/21/2020,19.56,20497.95,4092748361
130,Haleigh,Blowfield,hblowfield3l@hostgator.com,Bigender,183992.97,2/16/2020,128.68,42802.79,0315323450
131,Leigha,Bilbrooke,lbilbrooke3m@naver.com,Female,173922.12,5/21/2020,477.8,4607.16,9786610679
132,Mannie,Melby,mmelby3n@craigslist.org,Polygender,307801.16,8/3/2020,424.91,3794.14,1649396996
133,Stanislas,Henworth,shenworth3o@scribd.com,Genderqueer,191211.04,5/1/2020,60.68,33433.11,2581224150
134,Matilde,Wrighton,mwrighton3p@army.mil,Polygender,285499.12,10/28/2020,393.19,37503.21,3432625634
135,Hyatt,Maguire,hmaguire3q@wisc.edu,Polygender,362113.99,1/15/2021,81.57,19715.26,4558749112
136,Christa,Scholes,cscholes3r@blogspot.com,Female,444740.0,2/27/2020,373.21,1956.76,2446596932
137,Ninon,O' Ronan,noronan3s@exblog.jp,Genderfluid,82707.13,6/30/2020,385.83,37527.04,7503384999
138,Sallyanne,Daouse,sdaouse3t@springer.com,Polygender,446804.93,12/7/2020,477.48,19538.45,4608952528
139,Prent,Kobsch,pkobsch3u@webeden.co.uk,Male,221314.04,11/30/2020,289.96,38596.85,2528500807
